tamanho,TempoConstrucao(ms),BuscaExistente(ns),BuscaInexistente(ns),RemocaoExistente(ns),RemocaoInexistente(ns)
1000,621,273,164,3660,751
1000,606,220,167,1103,724
1000,613,220,173,865,655
1000,741,329,180,1547,727
1000,716,301,237,1058,841
1000,670,267,192,1473,722
1000,620,239,107,999,542
1000,604,218,136,825,748
1000,623,225,120,1210,698
1000,620,188,141,1490,754
1000,616,288,117,855,599
1000,619,242,145,786,731
1000,596,203,161,936,555
1000,636,198,113,1187,540
1000,630,196,127,962,445
1000,640,170,116,1011,535
1000,604,273,150,738,574
1000,631,257,145,909,560
1000,712,196,180,1223,752
1000,635,301,194,891,708
1000,725,287,203,1318,926
1000,744,251,205,1276,722
1000,622,247,150,1079,676
1000,607,223,131,1253,592
1000,622,214,194,1143,617
1000,623,215,146,975,651
1000,636,242,129,970,721
1000,604,206,118,959,609
1000,622,220,125,962,772
1000,633,187,171,987,674
1000,703,257,178,1042,744
1000,643,203,129,1019,642
1000,697,266,142,1823,683
1000,620,219,149,1098,638
1000,628,205,133,1189,582
1000,612,201,106,988,550
1000,629,224,110,1200,580
1000,604,197,119,914,647
1000,597,229,113,1067,585
1000,629,281,111,1010,647
1000,640,255,136,1063,634
1000,633,238,115,1061,585
1000,602,202,113,899,603
1000,719,222,161,1450,569
1000,632,218,122,975,671
1000,630,169,126,915,619
1000,641,203,173,1187,626
1000,612,211,157,1060,739
1000,607,218,123,1014,495
1000,639,230,142,863,661
10000,10,405,205,2208,903
10000,8,312,228,2019,1004
10000,10,332,292,1931,890
10000,13,478,197,2500,863
10000,8,304,198,2014,842
10000,10,520,212,2487,824
10000,8,434,186,2010,1010
10000,12,574,250,2343,1227
10000,10,355,511,2472,1093
10000,8,356,217,2044,890
10000,8,389,201,1637,956
10000,8,358,202,2251,888
10000,9,364,281,2218,838
10000,8,455,351,2454,1097
10000,9,416,217,1942,887
10000,8,369,282,1950,787
10000,8,395,386,2060,1119
10000,8,368,199,1922,928
10000,10,436,267,2080,971
10000,8,330,210,1693,937
10000,8,386,157,1747,796
10000,8,385,189,2209,831
10000,9,392,219,1981,737
10000,8,430,242,1979,1088
10000,8,470,205,2206,849
10000,8,383,201,2087,837
10000,9,390,204,2664,1018
10000,16,576,460,2370,1105
10000,12,494,290,2819,1423
10000,11,402,206,2086,897
10000,9,266,191,2171,849
10000,8,345,193,2106,882
10000,8,252,217,1872,968
10000,8,344,191,2026,968
10000,8,340,238,1863,1057
10000,8,310,170,2068,827
10000,8,207,192,2188,803
10000,8,392,211,1709,743
10000,8,306,184,1405,4765
10000,8,301,246,1525,894
10000,8,344,192,2119,838
10000,8,284,185,1987,815
10000,8,313,190,1380,870
10000,8,256,173,1356,905
10000,8,285,173,2157,701
10000,8,322,193,1454,891
10000,8,348,237,2150,716
10000,11,301,217,1812,994
10000,8,295,247,1486,811
10000,9,435,217,2106,982
100000,194,683,528,2709,1729
100000,163,827,431,2589,1164
100000,142,703,548,2594,1482
100000,157,817,570,2843,1159
100000,147,673,480,3059,1358
100000,159,815,422,2948,1287
100000,137,557,337,2765,1350
100000,145,480,330,2927,1125
100000,138,636,343,3014,1474
100000,156,456,513,2477,1186
100000,233,1397,602,3619,1859
100000,227,709,360,3164,1918
100000,226,1016,478,3423,1804
100000,198,881,550,3134,1925
100000,212,926,468,3403,1714
100000,216,713,579,3502,1982
100000,222,886,571,3467,1885
100000,204,790,602,3536,1752
100000,226,622,600,3409,1949
100000,228,971,946,3609,1723
100000,198,699,603,2748,1646
100000,137,498,422,2916,1577
100000,138,325,440,2637,1555
100000,141,542,344,3371,1282
100000,154,679,452,2747,1247
100000,144,11923,809,3457,1845
100000,150,957,495,2682,1272
100000,130,396,362,2622,1232
100000,139,1181,551,3834,1599
100000,137,543,391,3058,1568
100000,142,542,569,2946,1505
100000,135,734,460,2542,1300
100000,150,517,281,2710,1223
100000,149,765,505,2439,8355
100000,139,769,531,2563,1374
100000,150,685,639,3317,1845
100000,136,838,772,2801,1570
100000,137,862,467,3151,1754
100000,147,917,935,3340,2187
100000,150,772,450,2524,1071
100000,134,944,429,3638,1535
100000,149,855,508,2625,1238
100000,141,551,812,2726,1362
100000,141,672,612,3055,1554
100000,136,514,416,1968,1346
100000,161,525,352,2830,1451
100000,132,531,514,3176,1171
100000,140,539,583,2850,1454
100000,140,632,659,2829,1413
100000,139,445,263,2517,1146
1000000,2903,862,1140,3810,2571
1000000,2811,1071,954,3386,2067
1000000,2950,1573,897,3525,2361
1000000,3143,1408,1179,4111,2000
1000000,2846,1839,873,3227,1951
1000000,2862,1192,868,3595,1978
1000000,3374,777,1005,3937,2218
1000000,2774,1180,1433,4774,1951
1000000,2798,1222,1569,3894,2187
1000000,2770,1238,1043,3205,2716
1000000,3409,1426,885,3980,2561
1000000,2786,1218,798,3597,1592
1000000,3020,1534,851,4150,1961
1000000,3083,1686,996,4837,2651
1000000,2784,1293,1361,3236,2424
1000000,2674,3186,1259,3439,2124
1000000,2670,1136,1124,3782,1797
1000000,3235,1079,1504,4560,2503
1000000,2670,989,1205,4199,2149
1000000,2993,1314,994,3812,2165
1000000,2658,1455,1365,3217,2117
1000000,3374,1619,980,3956,2005
1000000,2807,1133,1147,3180,1992
1000000,3029,1783,1117,3773,2154
1000000,3133,1076,1173,4337,2490
1000000,2995,1314,1162,4229,2740
1000000,2864,1415,853,3698,2466
1000000,2978,1119,1060,4003,1805
1000000,3371,1038,1012,3606,1920
1000000,2799,1184,1428,3818,2206
1000000,2789,1476,1138,3298,1983
1000000,2736,1311,1064,4872,2211
1000000,3142,1282,1237,3796,2099
1000000,2786,1376,1262,3507,2693
1000000,2764,1575,1056,3408,2297
1000000,3075,1620,1135,4236,2842
1000000,3171,1555,1390,4027,2611
1000000,2789,1131,1256,4118,2266
1000000,2763,1768,1157,3776,1599
1000000,3373,1561,1027,3722,2106
1000000,3013,1479,1300,3843,2769
1000000,2764,1553,1090,3715,1984
1000000,2951,1449,1576,4181,2667
1000000,3150,1554,952,4129,2089
1000000,2776,1288,603,3406,1633
1000000,2724,741,1166,3975,2119
1000000,3317,1507,1470,4909,3894
1000000,2733,1567,1234,3380,2153
1000000,2787,1426,1180,3786,2483
1000000,2725,1802,1612,3599,3213
10000000,46490,1812,2583,4681,3087
10000000,42132,2023,1363,4166,2859
10000000,43913,2652,1960,4490,3239
10000000,44685,1484,1817,4715,2545
10000000,45102,3658,2353,5303,3538
10000000,43430,2588,1699,6406,3626
10000000,43788,2339,1757,4871,3406
10000000,47776,2614,2900,7395,4182
10000000,44901,2885,1666,5269,3253
10000000,44442,2123,2190,6194,4117
10000000,44548,2508,2002,5793,3532
10000000,44102,1689,1794,4910,3112
10000000,43704,2397,1889,6400,3635
10000000,43616,2173,1925,6114,2965
10000000,44213,2336,1174,3864,2454
10000000,44081,2148,1907,4647,3481
10000000,43308,2162,1742,4489,2983
10000000,45651,1564,1833,4923,2787
10000000,45165,2317,2017,5602,2893
10000000,45120,2354,2184,27724,5199
10000000,43214,2562,1927,4047,2914
10000000,43618,2843,2109,4823,3374
10000000,45121,1745,1606,5349,2519
10000000,44318,1870,1669,5265,3242
10000000,44325,2108,2119,4885,3030
10000000,42830,1983,2320,5700,3329
10000000,44370,2437,2623,5019,3759
10000000,43874,1960,2197,4854,2773
10000000,44593,2280,7493,4140,2715
10000000,44333,2278,1533,4329,2666
10000000,42930,1929,9242,4349,2956
10000000,43277,2149,1617,4838,2844
10000000,43643,2116,2060,5101,2588
10000000,43197,2428,1540,4477,3142
10000000,44763,2595,11518,5644,3440
10000000,43523,2033,1578,4257,2261
10000000,42761,1663,1342,4416,2439
10000000,43520,2869,2727,6707,3475
10000000,43954,2672,1896,5186,4376
10000000,44181,2054,2074,4855,2838
10000000,44407,1939,1659,3697,2829
10000000,46278,1410,1345,5065,3159
10000000,44939,4096,2968,6110,4161
10000000,45114,2507,1888,5198,2856
10000000,43792,1938,1514,4218,7814
10000000,43268,1853,1766,3601,2739
10000000,44063,2057,1678,5201,3819
10000000,45307,2078,1636,4204,2905
10000000,46129,1893,1358,4790,2409
10000000,44724,2109,1586,4448,2650
